# Phase 1: client catalog items that server code or migrations already reference.
# Source: analysis of D:\Godswar-Reborn-main vs D:\Godswar Origin (Localization/en_us/Settings/Sys/ItemBaseAttribute.xml).
# Format: <itemId>  # <display name>

3819  # 西西里岛符文
3838  # 健康女神宝典13
3840  # 健康女神宝典15
3860  # 古老的羊皮卷一
3861  # 古老的羊皮卷二
3883  # 新手礼包（Lv70）
3900  # 祈祷石
3904  # X200的扬声器
3908  # 漫步者音箱X200
3910  # M11的扬声器
3912  # M11的开关
3916  # M360的音频线
3920  # 精美月饼
4104  # 生命神水
4112  # 宠物更名石
4120  # 神圣的橄榄枝
4160  # 小型金袋
4180  # 一级专长符石
4300  # 雅典城传送卷
4304  # 斯巴达城传送卷
4308  # 赫尔墨斯之石
4312  # 神秘的迈加拉海岸传送卷
4316  # 神秘的德尔韦尼传送卷
4320  # 神秘的帕尼萨港口传送卷
4340  # 公会银符
4400  # 生锈的沉重铁箱
4403  # 稀有的沉重铁箱
4407  # 古朴的米诺斯宝藏
4411  # 精巧的潘多拉魔盒
4415  # 铜宝箱
4438  # Lv.50 Delicate Equip
4500  # 初级经验药剂
4501  # 弱效经验药剂
4502  # 强效经验药剂
4503  # 极效经验药剂
4507  # 南瓜糖
4511  # 远古生命药剂
4521  # 生命精华
4531  # 极效宠物经验药
4600  # 俄瑞斯忒斯的请求
4601  # 俄瑞斯忒斯的怒火
4602  # 喀戎的请求
4603  # 喀戎的怒火
4604  # 西西里岛的神秘封印一
4608  # 西西里岛的神秘封印二
4610  # 雅典神秘图纸[一]
4611  # 雅典神秘图纸[二]
4612  # 雅典神秘图纸[三]
4613  # 雅典神秘图纸[四]
4614  # 雅典神秘图纸[五]
4616  # 雅典神秘图纸[七]
4617  # 雅典神秘图纸[八]
4620  # 雅典人的神秘图纸［1］
4621  # 雅典人的神秘图纸［2］
4622  # 雅典人的神秘图纸［3］
4623  # 雅典人的神秘图纸［4］
4624  # 雅典人的神秘图纸［5］
4625  # 斯巴达神秘图纸[一]
4626  # 斯巴达神秘图纸[二]
4627  # 斯巴达神秘图纸[三]
4628  # 斯巴达神秘图纸[四]
4629  # 斯巴达神秘图纸[五]
4630  # 斯巴达神秘图纸[六]
4631  # 斯巴达神秘图纸[七]
4632  # 斯巴达神秘图纸[八]
4633  # 斯巴达神秘图纸[九]
4640  # 丰收女神的馈赠(1)
4641  # 丰收女神的馈赠(2)
4642  # 丰收女神的馈赠(3)
4643  # 丰收女神的馈赠(4)
4650  # 商旅神使的馈赠(1)
4660  # 神秘的东方卷轴[一]
4665  # 神秘的东方卷轴[六]
4670  # 神秘的东方卷轴[4]
4680  # 随机任务卷轴
