# Phase 2: client life-skill production chain (Lifing*): hides, ingots, essences,
# cloth, wood, recipes and blueprint outputs the server never imported.
# Source: analysis of D:\Godswar-Reborn-main vs D:\Godswar Origin (Localization/en_us/Settings/Sys/ItemBaseAttribute.xml).
# Format: <itemId>  # <display name>

12001  # 生皮革
12002  # 粗糙皮革
12003  # 厚实皮革
12004  # 强韧皮革
12011  # 铜锭
12012  # 赤铜锭
12013  # 赤铜精华
12014  # 赤铜精髓
12020  # 灵火
12021  # 空灵之火
12022  # 灵魂结晶
12023  # 灵魂精华
12024  # 灵魂精髓
12031  # 百草之灵
12032  # 百草之魄
12033  # 百草精华
12034  # 百草精髓
12040  # 软玉
12041  # 绿玉
12042  # 祖母绿玉
12043  # 绿玉精华
12044  # 绿玉精髓
12050  # 细毛皮
12051  # 单薄皮革
12052  # 软皮革
12053  # 精巧皮革
12054  # 华丽皮革
12060  # 银矿
12061  # 银锭
12062  # 秘银锭
12063  # 秘银精华
12064  # 秘银精髓
12070  # 魂魄
12071  # 虚无之火
12072  # 虚空结晶
12073  # 虚空精华
12074  # 虚空精髓
12080  # 虫草
12081  # 万木之灵
12082  # 万木之魄
12083  # 万木精华
12084  # 万木精髓
12090  # 玛瑙
12091  # 月光石
12092  # 皓月石
12093  # 皓月精华
12094  # 皓月精髓
12100  # 精致的材料包裹
12101  # 华丽的硬皮革
12102  # 闪亮的铜
12103  # 完整的灵火
12104  # 整包药材
12105  # 完美的玉石
12106  # 简陋的材料包裹
12111  # 普通矿锄
12112  # 精致矿锄
12113  # 附魔矿锄
12114  # 神圣矿锄
12121  # 普通药铲
12122  # 精致药铲
12123  # 附魔药铲
12124  # 神圣药铲
12131  # 普通弓箭
12132  # 精致弓箭
12133  # 附魔弓箭
12134  # 神圣弓箭
12200  # 硬皮线团
12201  # 生皮线团
12202  # 粗糙线团
12203  # 厚实线团
12204  # 强韧线团
12210  # 硬皮料
12211  # 生皮料
12212  # 粗糙皮料
12213  # 厚实皮料
12214  # 强韧皮料
12220  # 硬皮草
12221  # 生皮草
12222  # 粗糙皮草
12223  # 厚实皮草
12224  # 强韧皮草
12230  # 粗铜板材
12231  # 黄铜板材
12232  # 赤铜板材
12233  # 上等赤铜板材
12234  # 极品赤铜板材
12240  # 粗铜管材
12241  # 黄铜管材
12242  # 赤铜管材
12243  # 上等赤铜管材
12244  # 极品赤铜管材
12250  # 粗铜线材
12251  # 黄铜线材
12252  # 赤铜线材
12253  # 上等赤铜线材
12254  # 极品赤铜线材
12260  # 生命粉末
12261  # 生命之灵
12262  # 生命之魄
12263  # 生命精华
12264  # 生命精髓
12270  # 魔力粉末
12271  # 魔力之灵
12272  # 魔力之魄
12273  # 魔力精华
12274  # 魔力精髓
12280  # 元素粉末
12281  # 元素之灵
12282  # 元素之魄
12283  # 元素精华
12284  # 元素精髓
12291  # 单薄皮索
12292  # 软皮索
12293  # 精巧皮索
12294  # 华丽皮索
12301  # 雕刻符文
12302  # 古朴符文
12303  # 上古符文
12304  # 远古符文
12311  # 自然之灵
12312  # 自然之魄
12313  # 自然精华
12314  # 自然精髓
12800  # 铅瓶
12801  # 琉璃瓶
12802  # 水晶瓶
12810  # 秘法图纸
12811  # 元素图纸
12812  # 禁咒图纸
12820  # 破碎的晶石
12821  # 断裂的晶石
12822  # 有瑕疵的晶石
12830  # 木质捣药碗
12831  # 铁质捣药盅
12832  # 银质捣药杵
12850  # 阴影颗粒
12851  # 黑暗颗粒
12852  # 深渊颗粒
12860  # 劣质砂轮
12861  # 坚固砂轮
12862  # 精致砂轮
12870  # 招灵器皿
12871  # 聚灵器皿
12872  # 聚魂器皿
12880  # 木质锻锤
12881  # 铁质锻锤
12882  # 银质锻锤
12900  # 亚麻丝
12901  # 蛛丝
12902  # 狼蛛丝
12910  # 火焰之核
12911  # 烈焰之核
12912  # 魔焰之核
12920  # 轻灵号角
12921  # 迅驰号角
12922  # 疾风号角
12930  # 寻常刀具
12931  # 精致刀具
12932  # 锋利刀具
12950  # 山梨木
12951  # 岑木
12952  # 紫杉木
12960  # 普通羊皮
12961  # 优质羊皮
12962  # 牧羊皮
12970  # 净化之泉
12971  # 圣洁之泉
12972  # 神圣之泉
12980  # 低级工具组
12981  # 中级工具组
12982  # 高级工具组
13000  # 配方:生命粉末
13001  # 配方:魔力粉末
13002  # 配方:元素粉末
13003  # 配方:高级红药水
13004  # 配方:弱效专长药剂
13005  # 配方:空气之盾药剂
13006  # 配方:弱效宠物经验药
13007  # 配方:生命之泉水
13008  # 配方:弱效经验药剂
13009  # 配方:持久弱效专长药剂
13010  # 配方:石化护盾药剂
13011  # 配方:生命之灵
13012  # 配方:魔力之灵
13013  # 配方:元素之灵
13014  # 配方:持久弱效宠物经验药
13015  # 配方:魔力之泉水
13016  # 配方:持久弱效经验药剂
13017  # 配方:祈祷之语
13018  # 配方:怒火药剂
13019  # 配方:符石<火焰箭>
13021  # 配方:符石<龙卷风>
13022  # 配方:力量爆发药剂
13023  # 配方:符石<黑暗侵蚀>
13024  # 配方:强效专长药剂
13025  # 配方:钢化盾墙药剂
13026  # 配方:生命之魄
13027  # 配方:魔力之魄
13028  # 配方:元素之魄
13029  # 配方:魔力之神水
13030  # 配方:强效宠物经验药
13031  # 配方:赞美之诗
13032  # 配方:符石<星辰陨落>
13033  # 配方:强效经验药剂
13034  # 配方:持久强效专长药剂
13035  # 配方:祈祷之诗
13036  # 配方:符石<伤害诅咒>
13037  # 配方:自然之魄
13038  # 配方:持久强效宠物经验药
13039  # 配方:狂暴药剂
13040  # 配方:持久强效经验药剂
13041  # 配方:恢复之环
13042  # 配方:符石<暴风雪>
13043  # 配方:生命之神水
13044  # 配方:符石<冰霜打击>
13045  # 配方:元素守护药剂
13046  # 配方:极效专长药剂
13047  # 配方:生命精华
13048  # 配方:魔力精华
13049  # 配方:元素精华
13050  # 配方:魔力之圣水
13051  # 配方:极效宠物经验药
13052  # 配方:治疗光环
13053  # 配方:极效经验药剂
13054  # 配方:持久极效专长药剂
13055  # 配方:符石<死亡凋零>
13056  # 配方:自然精华
13057  # 配方:持久极效宠物经验药
13058  # 配方:复仇之怒药剂
13059  # 配方:持久极效经验药剂
13060  # 配方:治疗祈言
13061  # 配方:符石<龙之怒火>
13062  # 配方:祈祷之赞歌
13063  # 配方:符石<地狱火>
13064  # 配方:神圣守护药剂
13065  # 配方:生命精髓
13066  # 配方:魔力精髓
13067  # 配方:元素精髓
13068  # 配方:魔力之精髓
13069  # 配方:治疗圣言
13070  # 配方:祈祷之圣言
13071  # 配方:符石<天堂之拳>
13072  # 配方:自然精髓
13073  # 配方:神圣愤怒药剂
13074  # 配方:符石<雷神之锤>
13075  # 炼金配方:百草之灵
13076  # 炼金配方:百草之魄
13077  # 炼金配方:百草精华
13078  # 炼金配方:百草精髓
13200  # 配方:野蛮缨络
13201  # 配方:粗铜板材
13202  # 配方:粗铜管材
13203  # 配方:粗铜线材
13204  # 配方:野蛮护铠
13205  # 配方:野蛮鞍具
13206  # 配方:野蛮头冠
13207  # 配方:野蛮元灵
13208  # 配方:冲锋缨络
13209  # 配方:魂石(50级)
13210  # 配方:冲锋护铠
13211  # 配方:冲锋鞍具
13212  # 配方:冲锋头冠
13213  # 配方:冲锋元灵
13214  # 配方:冷酷缨络
13215  # 配方:魂石(60级)
13216  # 配方:黄铜板材
13217  # 配方:黄铜管材
13218  # 配方:黄铜线材
13219  # 配方:冷酷护铠
13220  # 配方:冷酷鞍具
13221  # 配方:冷酷头冠
13222  # 配方:冷酷元灵
13223  # 配方:愤怒缨络
13224  # 配方:魂石(70级)
