# Phase 3: pet consumables, food, eggs and pet-skill artifacts the server never imported.
# Source: analysis of D:\Godswar-Reborn-main vs D:\Godswar Origin (Localization/en_us/Settings/Sys/ItemBaseAttribute.xml).
# Format: <itemId>  # <display name>

3901  # “木偶人”宠物包
4113  # 神奇的铃铛
9008  # 奇特的复活彩蛋
10083  # 金质网兜
10085  # 万圣节魔棒
10086  # 圣诞老人手套
10087  # 兔子笼
10088  # 镣铐
10147  # 宠物经验石I
10148  # 宠物经验石II
10233  # 宠物技能:厚皮术II
10234  # 宠物技能:厚皮术III
10235  # 宠物技能:生命图腾II
10236  # 宠物技能:生命图腾III
10238  # 宠物技能:冥思III
10242  # 宠物技能:撕咬III
10243  # 宠物技能:羽芒之刃II
10246  # 宠物技能:神行III
10249  # 宠物技能:控魔II
10250  # 宠物技能:控魔III
10251  # 宠物技能:花之魔力II
10253  # 宠物技能:黑暗逆袭II
10254  # 宠物技能:黑暗逆袭III
10255  # 宠物技能:烟雾II
10256  # 宠物技能:烟雾III
10257  # 宠物技能:必杀II
10258  # 宠物技能:必杀III
10259  # 宠物技能:凝神术II
10260  # 宠物技能:凝神术III
10262  # 宠物技能:坚守III
10263  # 宠物技能:冰封II
10264  # 宠物技能:冰封III
10265  # 宠物技能:舍身护主II
10266  # 宠物技能:舍身护主III
10267  # 宠物技能:伤害强化II
10276  # 宠物技能:心灵护盾III
10277  # 宠物技能:嗜血II
10280  # 宠物技能:生命吞噬III
10281  # 宠物技能:灵性符记II
10287  # 宠物技能:身法符记II
10288  # 宠物技能:身法符记III
10289  # 宠物技能:根骨符记II
10290  # 宠物技能:根骨符记III
10291  # 宠物技能:幸运符记II
10292  # 宠物技能:幸运符记III
10293  # 宠物技能:海神守护II
10294  # 宠物技能:海神守护III
10296  # 宠物技能:虎啸生风II
10299  # 宠物技能:冰冻喷射II
10300  # 宠物技能:冰冻喷射III
10302  # 宠物技能:鹰眼术II
10303  # 宠物技能:鹰眼术III
10305  # 宠物技能:魔法屏障II
10306  # 宠物技能:魔法屏障III
10308  # 宠物技能:预知II
10309  # 宠物技能:预知III
10310  # 宠物技能:厚皮术IV
10314  # 宠物技能:生命图腾V
10315  # 宠物技能:生命图腾VI
10316  # 宠物技能:冥思IV
10317  # 宠物技能:冥思V
10318  # 宠物技能:冥思VI
10319  # 宠物技能:利爪IV
10321  # 宠物技能:利爪VI
10323  # 宠物技能:撕咬V
10324  # 宠物技能:撕咬VI
10325  # 宠物技能:羽芒之刃IV
10326  # 宠物技能:羽芒之刃V
10327  # 宠物技能:羽芒之刃VI
10328  # 宠物技能:神行IV
10330  # 宠物技能:神行VI
10331  # 宠物技能:藤蔓护体IV
10332  # 宠物技能:藤蔓护体V
10333  # 宠物技能:藤蔓护体VI
10334  # 宠物技能:控魔IV
10335  # 宠物技能:控魔V
10336  # 宠物技能:控魔VI
10337  # 宠物技能:花之魔力IV
10338  # 宠物技能:花之魔力V
10339  # 宠物技能:花之魔力VI
10340  # 宠物技能:黑暗逆袭IV
10341  # 宠物技能:黑暗逆袭V
10343  # 宠物技能:烟雾IV
10344  # 宠物技能:烟雾V
10345  # 宠物技能:烟雾VI
10346  # 宠物技能:魔法屏障IV
10347  # 宠物技能:魔法屏障V
10348  # 宠物技能:魔法屏障VI
10349  # 宠物技能:必杀IV
10350  # 宠物技能:必杀V
10351  # 宠物技能:必杀VI
10352  # 宠物技能:凝神术IV
10353  # 宠物技能:凝神术V
10354  # 宠物技能:凝神术VI
10355  # 宠物技能:坚守IV
